PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Widmann, T				Widmann, Tobias			How Emotional Are Populists Really? Factors Explaining Emotional Appeals in the Communication of Political Parties	POLITICAL PSYCHOLOGY			English	Article						discrete emotions; populist communication; political communication; text analysis; text as data	ANXIETY; ANGER; MEDIA; FEAR; UNDERPINNINGS; IMMIGRATION; PERCEPTIONS; ENTHUSIASM; OPPOSITION; RESPONSES	Are populists really more emotional than mainstream parties? The alleged link between populism and emotional communication has barely been subject to systematic empirical scrutiny. I use literature on populist communication and appraisal theory to generate expectations about which political parties use which emotional appeals. I test these claims by applying a novel emotional dictionary to a large set of text data including more than 700,000 press releases and tweets from three European countries. As expected, I find that populist parties use significantly more negative emotional appeals (anger, fear, disgust, sadness) and less positive emotional appeals (joy, enthusiasm, pride, hope) than mainstream parties. Furthermore, I find that political actors adapt the usage of emotional appeals to different purposes depending on the communication medium and the politicians' status level. This study entails important implications for the research on emotional appeals in politics and populist communication.	[Widmann, Tobias] European Univ Inst, Fiesole, Italy		Widmann, T (corresponding author), European Univ Inst, Dept Polit & Social Sci, Via Badia dei Roccettini 9, I-50014 Florence, Italy.	tobias.widmann@eui.eu		Widmann, Tobias/0000-0003-1692-3101				61	7	7	6	20	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0162-895X	1467-9221		POLIT PSYCHOL	Polit. Psychol.	FEB	2021	42	1					163	181		10.1111/pops.12693		SEP 2020	19	Political Science; Psychology, Social	Social Science Citation Index (SSCI)	Government & Law; Psychology	PQ4QT	WOS:000572809700001					2022-03-30	
J	Ceron, A; Gandini, A; Lodetti, P				Ceron, Andrea; Gandini, Alessandro; Lodetti, Patrizio			Still 'fire in the (full) belly'? Anti-establishment rhetoric before and after government participation	INFORMATION COMMUNICATION & SOCIETY			English	Article						Populism; Facebook video; text analysis; political language; election campaign	RADICAL RIGHT; POPULISM; PARTIES; TWITTER; EUROPE; SYSTEM	Scholars argued that anti-establishment parties use a populist rhetoric that appeals to the worst instincts of people. Indeed, populist politicians are often viewed as charismatic leaders that have fire in their belly. While in the past these parties heavily relied on anti-establishment platforms and communication rhetoric, their increasing electoral success along with the growing duties linked with government membership transform them into more established parties, rather than pure outsiders, and cast doubts on the feasibility of keeping a populist rhetoric. This paper compares right-wing and non-right-wing populism, investigating whether populist leaders change their rhetorical strategy once in office, decreasing the level of negativity and adopting a more forward-looking and inclusive style of communication, with a stronger focus on fulfilling the policy proposal made during the electoral campaign rather than blaming political rivals. For this purpose, we collected a new corpus of political speeches extracted from video messages posted on Facebook by four anti-establishment party leaders in three countries (Austria, Italy and Spain), from 2016 to 2018, i.e., immediately before and immediately after their access to power. Overall, 30 h of recorded audio from 215 videos (amounting to around 140 million visualizations) have been analyzed using topic models and well-established semantic psycholinguistic dictionaries. The results highlight slight changes in the rhetoric of populist leaders once in power, mostly for non-right-wing populists, as their language becomes less negative, less assertive and more focused on government duties.	[Ceron, Andrea; Gandini, Alessandro; Lodetti, Patrizio] Univ Milan, Dipartimento Sci Sociali & Polit, Via Pass 13, I-20122 Milan, Italy		Ceron, A (corresponding author), Univ Milan, Dipartimento Sci Sociali & Polit, Via Pass 13, I-20122 Milan, Italy.	andrea.ceron@unimi.it; alessandro.gandini@unimi.it; patrizio.lodetti@unimi.it		Gandini, Alessandro/0000-0002-7705-7625; Ceron, Andrea/0000-0002-6686-5969				42	3	3	1	6	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND	1369-118X	1468-4462		INFORM COMMUN SOC	Info. Commun. Soc.	JUL 27	2021	24	10			SI		1460	1476		10.1080/1369118X.2020.1776373		JUN 2020	17	Communication; Sociology	Social Science Citation Index (SSCI)	Communication; Sociology	TL9AU	WOS:000544753800001		Green Submitted			2022-03-30	
J	Konig, T; Finke, D				Koenig, Thomas; Finke, Daniel			Legislative Governance in Times of International Terrorism	JOURNAL OF CONFLICT RESOLUTION			English	Article						terrorism; legislative governance; coalition politics; bicameralism	FOREIGN-AID; COUNTERTERRORISM; CONSEQUENCES; US	How do political parties with different policy-making interests and veto power respond to international terrorismcan coalition parties and bicameral legislatures overcome their policy-making tensions and form a unified front for adopting counterterrorist measures? This study examines German counterterrorist legislation before and after the attacks of 9/11 by using a dictionary-based computerized text analysis. Our findings demonstrate that in times of low threat, the level of intra-coalition and bicameral conflict decreases the likelihood of counterterrorist legislation. However, in the event of a high external threat, this effect disappears despite the continuing divergence in partisan policy preferences. This suggests that a high external threat imposes inaction costs on political parties, which they attempt to avoid by adopting counterterrorist measures in the legislative arena.	[Koenig, Thomas] Univ Mannheim, D-68131 Mannheim, Germany; [Finke, Daniel] Heidelberg Univ, Dept Polit Sci, Heidelberg, Germany		Konig, T (corresponding author), Univ Mannheim, POB 103462, D-68131 Mannheim, Germany.	koenig@uni-mannheim.de						48	1	1	0	25	SAGE PUBLICATIONS INC	THOUSAND OAKS	2455 TELLER RD, THOUSAND OAKS, CA 91320 USA	0022-0027	1552-8766		J CONFLICT RESOLUT	J. Confl. Resolut.	MAR	2015	59	2					262	282		10.1177/0022002713503298			21	International Relations; Political Science	Social Science Citation Index (SSCI)	International Relations; Government & Law	CB2JL	WOS:000349453200004					2022-03-30	
J	Jentsch, C; Lee, ER; Mammen, E				Jentsch, Carsten; Lee, Eun Ryung; Mammen, Enno			Time-dependent Poisson reduced rank models for political text data analysis	COMPUTATIONAL STATISTICS & DATA ANALYSIS			English	Article						Party manifestos; Text data; Term document matrices; Count data; High-dimensional data; Political spectrum; Political lexicon; Wordfish; INAR time series models; Penalization; LASSO; Fused LASSO; Dimension reduction	ROBUST TRANSFORMATION PROCEDURE; CROSS-CLASSIFICATIONS; PARTY POSITIONS; ASSOCIATION; SERIES; SELECTION; PITFALLS; WORDS; ERROR	We consider Poisson reduced rank models where parameters depend on time. Our main motivation comes from studies in comparative politics where one wants to locate party positions in a certain political space. For this purpose, several empirical methods have been proposed using text as data sources. As the data structure of texts is quite complex, its analysis to extract information is generally a difficult task. Furthermore, political texts usually contain a large number of words such that a simultaneous analysis of word counts becomes challenging. In this paper, we consider Poisson models for each word count simultaneously and provide a statistical method suitable to analyze political text data. We consider a novel model which allows the political lexicon to change over time and develop an estimation procedure based on LASSO and fused LASSO penalization techniques to address high-dimensionality via significant dimension reduction. This model gives insights into the potentially changing use of words by left and right-wing parties over time. The procedure allows to identify automatically those words having a discriminating effect between party positions. To address the dependence structure of word counts over time, we propose integer-valued time series processes to implement a suitable bootstrap method for constructing confidence intervals for the model parameters. We apply our approach to party manifesto data from German parties over seven federal elections after German reunification. The approach does not require any a priori information nor expert knowledge to process the data. (C) 2019 Elsevier B.V. All rights reserved.	[Jentsch, Carsten] TU Dortmund, Fak Stat, D-44221 Dortmund, Germany; [Lee, Eun Ryung] Sungkyunkwan Univ, Dept Stat, 25-2 Sungkyunkwan Ro, Seoul 03063, South Korea; [Mammen, Enno] Heidelberg Univ, Inst Appl Math, Im Neuenheimer Feld 205, D-69120 Heidelberg, Germany		Lee, ER (corresponding author), Sungkyunkwan Univ, Dept Stat, 25-2 Sungkyunkwan Ro, Seoul 03063, South Korea.	silverryuee@gmail.com			Deutsche Forschungsgemeinschaft (DFG) through the Research Training Group RTG 1953German Research Foundation (DFG); National Research Foundation of Korea (NRF) - Korea government (MSIT) [NRF-2019R1F1A1062795]; Government of the Russian Federation; Deutsche Forschungsgemeinschaft (DFG) through the Research Center (SFB) 884 Political Economy of ReformGerman Research Foundation (DFG)	The authors would like to thank anonymous reviewers, the Associate Editor, and the Coeditor for their valuable comments, which helped to improve the article. This research is supported by Deutsche Forschungsgemeinschaft (DFG) through the Research Training Group RTG 1953 and through the Research Center (SFB) 884 Political Economy of Reform. Research of E. R. Lee was partially supported by the National Research Foundation of Korea (NRF) grant funded by the Korea government (MSIT) (No. NRF-2019R1F1A1062795). Research of E. Mammen was prepared within the framework of a subsidy granted to the HSE by the Government of the Russian Federation for the implementation of the Global Competitiveness Program. We thank Julian Koltes and Florian Miser for assistance in the implementation of the algorithms. Most of the computations have been done on the HPC clusters bwGrid and the bwUniCLuster.		48	2	2	1	23	ELSEVIER	AMSTERDAM	RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS	0167-9473	1872-7352		COMPUT STAT DATA AN	Comput. Stat. Data Anal.	FEB	2020	142								106813	10.1016/j.csda.2019.106813			15	Computer Science, Interdisciplinary Applications; Statistics & Probability	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Computer Science; Mathematics	JI1HS	WOS:000493217100009					2022-03-30	
C	Lim, S; Han, H			IEEE	Lim, SeungJin; Han, Hyoil			Distinguishing Political Parties From Inaugural Speeches Using Machine Learning	THIRD INTERNATIONAL CONFERENCE ON MULTIMEDIA INFORMATION PROCESSING AND RETRIEVAL (MIPR 2020)			English	Proceedings Paper	IEEE 3rd International Conference on Multimedia Information Processing and Retrieval (IEEE MIPR)	AUG 06-08, 2020	ELECTR NETWORK	IEEE, IEEE Comp Soc, Huawei Cloud, Hisense, Kuaishou Technol, NEC				A massive amount of text data is available online; applying machine learning techniques to analyze the data helps human beings to grasp the status of previous and current eras. We analyze lexically all US presidential inaugural speeches from 1789 until now and use machine learning algorithms to learn patterns to categorize the authors of the speeches into their respective parties. We apply four different supervised learning approaches (Multinomial Naive Bayes, SVMs, Random Forest, and Logistic Regression) and evaluate their classification performance. The outcome is a 100% accurate classification based on our choice of lexical features (such as unigram and stopwords removal) and the parameters of SVM with linear, polynomial, and RBF kernels. Our study shows that the selected supervised machine learning algorithms can produce highly accurate association between political parties inaugural speech text without requiring any additional information such as metadata for authors or parties or semantics.	[Lim, SeungJin] Merrimack Coll, 315 Turnpike St, N Andover, MA 01845 USA; [Han, Hyoil] Illinois State Univ, Campus Box 5150, Normal, IL 61790 USA		Lim, S (corresponding author), Merrimack Coll, 315 Turnpike St, N Andover, MA 01845 USA.	lims@merrimack.edu; hyoil.han@acm.org						8	1	1	0	1	IEEE COMPUTER SOC	LOS ALAMITOS	10662 LOS VAQUEROS CIRCLE, PO BOX 3014, LOS ALAMITOS, CA 90720-1264 USA			978-1-7281-4272-2				2020							97	100		10.1109/MIPR49039.2020.00026			4	Computer Science, Theory & Methods	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science	BQ8TZ	WOS:000621665600018					2022-03-30	
C	Sharma, P; Moh, TS		Joshi, J; Karypis, G; Liu, L; Hu, X; Ak, R; Xia, Y; Xu, W; Sato, AH; Rachuri, S; Ungar, L; Yu, PS; Govindaraju, R; Suzumura, T		Sharma, Parul; Moh, Teng-Sheng			Prediction of Indian Election Using Sentiment Analysis on Hindi Twitter	2016 IEEE INTERNATIONAL CONFERENCE ON BIG DATA (BIG DATA)			English	Proceedings Paper	4th IEEE International Conference on Big Data (Big Data)	DEC 05-08, 2016	Washington, DC	IEEE, IEEE Comp Soc, Natl Sci Fdn, Cisco, Huawei, Elsevier, Navigant, Johns Hopkins Whiting Sch Engn		Sentiment Analysis; Twitter; Indian Elections; Naive Bayes; Support Vector Machine		Sentiment analysis is considered to be a category of machine learning and natural language processing. It is used to extricate, recognize, or portray opinions from different content structures, including news, audits and articles and categorizes them as positive, neutral and negative. It is difficult to predict election results from tweets in different Indian languages. We used Twitter Archiver tool to get tweets in Hindi language. We performed data (text) mining on 42,235 tweets collected over a period of a month that referenced five national political parties in India, during the campaigning period for general state elections in 2016. We made use of both supervised and unsupervised approaches. We utilized Dictionary Based, Naive Bayes and SVM algorithm to build our classifier and classified the test data as positive, negative and neutral. We identified the sentiment of Twitter users towards each of the considered Indian political parties. The results of the analysis for Naive Bayes was the BJP (Bhartiya Janta Party), for SVM it was the BJP (Bhartiya Janta Party) and for the Dictionary Approach it was the Indian Nathional Congress. SVM predicted a 78.4% chance that the BJP would win more elections in the general election due to the positive sentiment they received in tweets. As it turned out, BJP won 60 out of 126 constituencies in the 2016 general election, far more than any other political party as the next party (the Indian National Congress) only won 26 out of 126 constituencies.	[Sharma, Parul; Moh, Teng-Sheng] San Jose State Univ, Dept Comp Sci, San Jose, CA 95192 USA		Sharma, P (corresponding author), San Jose State Univ, Dept Comp Sci, San Jose, CA 95192 USA.	parul.sharma@sjsu.edu; teng.moh@sjsu.edu	Sathasivam, Prasanta/AAK-4169-2021					17	29	30	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-4673-9005-7				2016							1966	1971					6	Computer Science, Information Systems; Computer Science, Theory & Methods	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science	BH2PL	WOS:000399115002002					2022-03-30	
J	Ruedin, D				Ruedin, Didier			The Role of Language in the Automatic Coding of Political Texts	SWISS POLITICAL SCIENCE REVIEW			English	Article						Automatic Coding; Language; Party Manifestos; Political Text	ESTIMATING POLICY POSITIONS; PARTY POSITIONS; MODEL	Automatic approaches to coding party manifestos and other political texts have become more widespread. This research note addresses the question to what extent the source language of a text affects the results. To do so, Swiss manifestos in German and French are coded automatically, comparing a keyword-based dictionary approach and Wordscores. Because of language differences, both stemming and particularly stop words are important to obtain comparable results for Wordscores. If both are used, the predicted scores are almost identical in both languages. With the right preparations, the challenge of language differences can thus be overcome.	[Ruedin, Didier] Univ Neuchatel, Swiss Forum Migrat & Populat Studies SFM, CH-2000 Neuchatel, Switzerland		Ruedin, D (corresponding author), Univ Neuchatel, Swiss Forum Migrat & Populat Studies, Fbg Hop 106, CH-2000 Neuchatel, Switzerland.	didier.ruedin@wolfson.oxon.org		Ruedin, Didier/0000-0001-5213-4316				24	6	6	0	10	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	1424-7755	1662-6370		SWISS POLIT SCI REV	Swiss Polit. Sci. Rev.	DEC	2013	19	4					539	545		10.1111/spsr.12050			7	Political Science	Social Science Citation Index (SSCI)	Government & Law	263HC	WOS:000327797100006		Green Submitted, Bronze			2022-03-30	
J	Ademilokun, M; Taiwo, R				Ademilokun, Mohammed; Taiwo, Rotimi			Discursive strategies in newspaper campaign advertisements for Nigeria's 2011 elections	DISCOURSE & COMMUNICATION			English	Article						Advertising; critical discourse analysis; election; metaphor; newspaper; Nigeria; party symbols; political campaign; political discourse; political marketing; politics; power; strategies		This article discusses the discursive strategies used in some newspaper campaign advertisements for Nigeria's 2011 elections with a view to unveiling the socio-political motifs and messages of the adverts. Data for the study comprised 60 full-page newspaper election campaign adverts of the two strongest political parties in the country: the People's Democratic Party (PDP) and Action Congress of Nigeria (ACN) published between February and April 2011, a period that can be referred to as the peak period of electioneering campaigns for the 2011 elections in Nigeria. The data gathered were analysed using the analytical tools of critical discourse analysis, with emphasis on Fairclough's discourse as a social practice approach to the theory. Findings reveal that the text producers employed discursive strategies such as the metaphorization of party symbols, the use of deictic pronouns for inclusion and exclusion, deployment of rhetorical questions for persuasion, identification with the youth culture, employment of historical allusions, giving appeal to good luck, and negative other representation. In addition, the packaging of the information, graphological foregrounding, imagery, repetition and lexical choice reveal the intent of the campaign advertiser to persuade, appeal to sentiments, legitimize and delegitimize their positions in the discourse.	[Ademilokun, Mohammed] Obafemi Awolowo Univ, Dept English, Ife 220005, Nigeria; [Taiwo, Rotimi] Obafemi Awolowo Univ, Ife 220005, Nigeria		Taiwo, R (corresponding author), Obafemi Awolowo Univ, Dept English, POB 1972,Obafemi Awolowo Univ PO, Ife 220005, Nigeria.	ferotai@yahoo.com		Taiwo, Rotimi/0000-0003-2614-5198				50	12	12	0	20	SAGE PUBLICATIONS INC	THOUSAND OAKS	2455 TELLER RD, THOUSAND OAKS, CA 91320 USA	1750-4813	1750-4821		DISCOURSE COMMUN	Discourse Commun.	NOV	2013	7	4					435	455		10.1177/1750481313494501			21	Communication	Social Science Citation Index (SSCI)	Communication	238GC	WOS:000325930300004					2022-03-30	
J	Ziegert, C				Ziegert, Carsten			A Case for Grace? Case-Grammar, Frame-Semantics, and Biblical Hebrew	VETUS TESTAMENTUM			English	Article						grace; frame semantics; cognitive linguistics; lexicography		The traditional rendering "grace" for ID is controversial. Frame semantics, a theory originating in cognitive linguistics, anticipates that prototypical situations are evoked in language users' minds each time a word is used. Thus, a "frame" for "'to situations" is reconstructed from Biblical texts. Apart from the basic meaning "beauty" which is offered in dictionaries, tt)o, an extended meaning is presented: designates "the settling of a (potential) conflict between two parties that only one party can bring to a conclusion,"	[Ziegert, Carsten] Freie Theol Hsch, Giessen, Germany		Ziegert, C (corresponding author), Freie Theol Hsch, Giessen, Germany.	ziegert@fthgiessen.de						41	0	0	0	2	BRILL	LEIDEN	PLANTIJNSTRAAT 2, P O BOX 9000, 2300 PA LEIDEN, NETHERLANDS	0042-4935			VETUS TESTAMENTUM	Vetus Testam.	JAN	2021	71	1					133	150		10.1163/15685330-12341442			18	Religion	Arts &amp; Humanities Citation Index (A&amp;HCI)	Religion	QD1GU	WOS:000615276800009					2022-03-30	
J	Grundl, J				Gruendl, Johann			Populist ideas on social media: A dictionary-based measurement of populist communication	NEW MEDIA & SOCIETY			English	Article; Early Access						automated content analysis; automated measurement; dictionary; Facebook; Germany; political communication; populism; populist communication; social media; Twitter		This article presents a dictionary-based measurement of populist communication that reaches citizens directly through social media in German. The studied populist messages reflect ideational definitions of populism. Thus, populist messages appeal to the people, dismiss the elites as appalling, or highlight the people's right to unfettered rule. Despite German-speaking countries offering a variety of populist parties, existing automated approaches are rarely applicable to German texts. Furthermore, they are not tailored to social media and often focus only on anti-elitism. I vastly improved existing dictionaries by analyzing populist ideology in its entirety, including people-centrism and the demand for people's sovereignty. The article showed how known populist parties in Austria, Germany, and Switzerland spread these messages to a great extent on social media. Furthermore, I was able to highlight intra-party differences. Finally, the article discusses different aspects of validity and shows that the proposed approach offers high convergent validity and split-half reliability.	[Gruendl, Johann] Univ Vienna, Dept Govt, Kolingasse 14-16, A-1010 Vienna, Austria		Grundl, J (corresponding author), Univ Vienna, Dept Govt, Kolingasse 14-16, A-1010 Vienna, Austria.	johann.gruendl@univie.ac.at		Grundl, Johann/0000-0001-6497-8188				55	4	4	5	9	SAGE PUBLICATIONS LTD	LONDON	1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND	1461-4448	1461-7315		NEW MEDIA SOC	New Media Soc.											1461444820976970	10.1177/1461444820976970		DEC 2020	19	Communication	Social Science Citation Index (SSCI)	Communication	QO9AY	WOS:000623429900001		hybrid			2022-03-30	
J	Rodriguez-Ibanez, M; Gimeno-Blanes, FJ; Cuenca-Jimenez, PM; Soguero-Ruiz, C; Rojo-Alvarez, JL				Rodriguez-Ibanez, Margarita; Gimeno-Blanes, Francisco-Javier; Cuenca-Jimenez, Pedro Manuel; Soguero-Ruiz, Cristina; Rojo-Alvarez, Jose Luis			Sentiment Analysis of Political Tweets From the 2019 Spanish Elections	IEEE ACCESS			English	Article						Voting; Social networking (online); Sentiment analysis; Blogs; Machine learning; Dictionaries; Analytical models; Sentiment analysis; twitter; social networking sites; text analysis; lexicon; politics; collected tweets; election candidates; election results; manifold embedding; autoenconders	TWITTER	The use of sentiment analysis methods has increased in recent years across a wide range of disciplines. Despite the potential impact of the development of opinions during political elections, few studies have focused on the analysis of sentiment dynamics and their characterization from statistical and mathematical perspectives. In this paper, we apply a set of basic methods to analyze the statistical and temporal dynamics of sentiment analysis on political campaigns and assess their scope and limitations. To this end, we gathered thousands of Twitter messages mentioning political parties and their leaders posted several weeks before and after the 2019 Spanish presidential election. We then followed a twofold analysis strategy: (1) statistical characterization using indices derived from well-known temporal and information metrics and methods -including entropy, mutual information, and the Compounded Aggregated Positivity Index- allowing the estimation of changes in the density function of sentiment data; and (2) feature extraction from nonlinear intrinsic patterns in terms of manifold learning using autoencoders and stochastic embeddings. The results show that both the indices and the manifold features provide an informative characterization of the sentiment dynamics throughout the election period. We found measurable variations in sentiment behavior and polarity across the political parties and their leaders and observed different dynamics depending on the parties' positions on the political spectrum, their presence at the regional or national levels, and their nationalist or globalist aspirations.	[Rodriguez-Ibanez, Margarita] Univ Rey Juan Carlos, Dept Business, Madrid 28933, Spain; [Gimeno-Blanes, Francisco-Javier] Univ Miguel Hernandez, Dept Commun Engn, Alicante 03202, Spain; [Cuenca-Jimenez, Pedro Manuel; Soguero-Ruiz, Cristina; Rojo-Alvarez, Jose Luis] Univ Rey Juan Carlos, Dept Signal Theory & Commun Telemat & Comp Syst, Madrid 28933, Spain; [Rojo-Alvarez, Jose Luis] Univ Politecn Madrid, Ctr Computat Simulat, Madrid 28040, Spain		Rojo-Alvarez, JL (corresponding author), Univ Rey Juan Carlos, Dept Signal Theory & Commun Telemat & Comp Syst, Madrid 28933, Spain.; Rojo-Alvarez, JL (corresponding author), Univ Politecn Madrid, Ctr Computat Simulat, Madrid 28040, Spain.	joseluis.rojo@urjc.es	Gimeno Blanes, Francisco Javier/U-1174-2017	Gimeno Blanes, Francisco Javier/0000-0002-2727-2132; Rodriguez Ibanez, Margarita/0000-0002-6310-7126; Cuenca Jimenez, Pedro Manuel/0000-0002-0198-0659	KLINILYCS [TEC2016-75361-R]; AAVis-BMR [PID2019-107768RA-I00]; BigTheory [PID2019-106623RB-C41]; meHeart RisBi [PID2019-104356RB-C42]; miHeart-DaBa through the Agencia Estatal de Investigacion; FEDEREuropean Commission [PID2019-104356RB-C43]; Young Researchers Research and Development Project through the Community of Madrid; Rey Juan Carlos University [2020-656]; KERMES [TEC2016-81900-REDT]; MAPAS through the Spanish Government [TIN2017-90567-REDT]	This work was supported in part by the KLINILYCS under Grant TEC2016-75361-R, in part by the AAVis-BMR under Grant PID2019-107768RA-I00, in part by the BigTheory under Grant PID2019-106623RB-C41, in part by the meHeart RisBi under Grant PID2019-104356RB-C42, in part by the miHeart-DaBa through the Agencia Estatal de Investigacion and co-funded by FEDER under Grant PID2019-104356RB-C43, in part by the Young Researchers Research and Development Project through the Community of Madrid and Rey Juan Carlos University under Project 2020-656, in part by the KERMES under Grant TEC2016-81900-REDT, and in part by the MAPAS through the Spanish Government under Grant TIN2017-90567-REDT.		59	0	0	8	10	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	PISCATAWAY	445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA	2169-3536			IEEE ACCESS	IEEE Access		2021	9						101847	101862		10.1109/ACCESS.2021.3097492			16	Computer Science, Information Systems; Engineering, Electrical & Electronic; Telecommunications	Science Citation Index Expanded (SCI-EXPANDED)	Computer Science; Engineering; Telecommunications	TQ5LD	WOS:000678320700001		gold			2022-03-30	
